is_rating	day	time	goal	assist
True	2023-02-15	03:50	Зароченцев	Евдокимов
True	2023-02-15	05:56	Имайчев	Мустафа
True	2023-02-15	06:36	Мелешин	Кисляков
True	2023-02-15	07:22	Евдокимов	Зароченцев
True	2023-02-15	07:54	Русейкин	Имайчев
True	2023-02-15	08:48	Мелешин	Евдокимов
True	2023-02-15	09:38	Мелешин	Кисляков
True	2023-02-15	14:47	Мелешин	Евдокимов
True	2023-02-15	18:08	Колотушкин	Кисляков
True	2023-02-15	30:50	Колотушкин	Евдокимов
True	2023-02-15	37:11	Мелешин	
True	2023-02-15	41:00	Имайчев	Занкин
True	2023-02-15	44:07	Мелешин	Евдокимов
True	2023-02-15	46:26	Кисляков	
True	2023-02-15	48:26	Колотушкин	Евдокимов
True	2023-02-15	49:24	Колотушкин	Евдокимов
True	2023-02-15	50:48	Кисляков	Колотушкин
True	2023-02-15	53:57	Кисляков	Зароченцев
True	2023-02-15	59:11	Колотушкин	Евдокимов
True	2023-02-15	01:00:34	Имайчев	Занкин
True	2023-02-22	12:18	Занкин	Имайчев
True	2023-02-22	15:35	Кисляков	
True	2023-02-22	16:11	Шалаев	Мустафа
True	2023-02-22	23:16	Русейкин	Кисляков
True	2023-02-22	24:24	Маркитантов	Орешин
True	2023-02-22	27:06	Маркитантов	Кисляков
True	2023-02-22	37:38	Маркитантов	Кисляков
True	2023-02-22	39:20	Кисляков	Русейкин
True	2023-02-22	41:58	Имайчев	Мустафа
True	2023-02-22	46:16	Маркитантов	Черняев
True	2023-02-22	48:20	Имайчев	Колотушкин
True	2023-02-22	53:48	Маркитантов	Кисляков
True	2023-02-22	54:43	Черняев	Маркитантов
True	2023-02-24	00:53	Кисляков	Русейкин
True	2023-02-24	02:25	Черняев	Имайчев
True	2023-02-24	08:23	Маркитантов	Русейкин
True	2023-02-24	13:18	Черняев	Имайчев
True	2023-02-24	14:10	Маркитантов	Русейкин
True	2023-02-24	15:55	Маркитантов	Орешин
True	2023-02-24	19:29	Маркитантов	
True	2023-02-24	21:11	Кисляков	
True	2023-02-24	22:00	Орешин	Маркитантов
True	2023-02-24	25:24	Имайчев	Черняев
True	2023-02-24	36:20	Орешин	Маркитантов
True	2023-02-24	37:44	Имайчев	Колотушкин
True	2023-02-24	38:12	Черняев	
True	2023-02-24	44:56	Русейкин	Маркитантов
True	2023-02-24	46:01	Имайчев	
True	2023-02-24	50:35	Черняев	Зароченцев
True	2023-02-24	51:44	Маркитантов	Русейкин
